Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Bodø/Glimt,UEFA Champions League,J4,64%,640 of 732 — 87%,4 of 17 — 24%,1 of 2 — 50%
Monaco,UEFA Champions League,J4,36%,76% — 313 of 411,22% — 2 of 9,100% — 4 of 4
