Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Rennes,French Ligue 1,J4,48%,407 of 490 — 83%,4 of 23 — 17%,4 of 5 — 80%
Lyon,French Ligue 1,J4,52%,85% — 445 of 524,63% — 5 of 8,50% — 2 of 4
