Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Pafos FC,UEFA Champions League,J2,34%,294 of 387 — 76%,2 of 6 — 33%,10 of 15 — 66%
Bayern Munich,UEFA Champions League,J2,66%,88% — 658 of 748,58% — 15 of 26,50% — 1 of 2
