Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Feyenoord,UEFA Europa League,J2,41%,311 of 385 — 81%,8 of 19 — 42%,1 of 3 — 33%
Aston Villa,UEFA Europa League,J2,59%,88% — 489 of 557,50% — 3 of 6,100% — 8 of 8
