,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J4,Ivan Nevistić,Dinamo Zagreb,UEFA Europa League,hr CRO,27-098,90,3,3,1,0.0,1.2,3,13,23.1,42,3,31.0,27.0,1,0.0,9.0,5,1,20.0,2,18.7
J4,Iván Villar,Celta Vigo,UEFA Europa League,es ESP,28-120,90,5,0,5,100.0,0.4,0,8,0.0,33,7,15.2,24.9,5,60.0,44.2,23,0,0.0,0,10.0
