Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Napoli,UEFA Champions League,J2,51%,477 of 541 — 88%,3 of 12 — 25%,3 of 3 — 100%
Sporting CP,UEFA Champions League,J2,49%,89% — 464 of 521,43% — 3 of 7,33% — 1 of 3
