,Player,,,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J3,Kevin-Prince Milla,Sparta Prague,UEFA Europa Conference League,28.0,cm CMR,FW,21-316,60,0,0,0,0,5,3,0,0,26,1,1,0,0.4,0.4,0.0,2,0,8,14,57.1,1,12,0,0,0,Kevin-Prince Milla,28.0,cm CMR,FW,21-316,60,8,14,57.1,128,11,5,8,62.5,2,5,40.0,1,1,100.0,0,0.0,0.0,1,0,0,0,1,Kevin-Prince Milla,28.0,cm CMR,FW,21-316,60,14,14,0,0,0,0,1,0,0,0,0,0,8,0,0,Kevin-Prince Milla,28.0,cm CMR,FW,21-316,60,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,Kevin-Prince Milla,28.0,cm CMR,FW,21-316,60,26,0,0,5,21,7,26,0,0,,0,,12,57,13,0,1,0,3,1,19,7,Kevin-Prince Milla,28.0,cm CMR,FW,21-316,60,0,0,0,4,1,0,1,1,1,0,0,0,1,3,1,75.0
J3,Jan Kuchta,Sparta Prague,UEFA Europa Conference League,10.0,cz CZE,FW,28-302,30,0,0,0,0,0,0,0,0,9,0,0,2,0.0,0.0,0.0,1,0,4,5,80.0,0,4,0,0,0,Jan Kuchta,10.0,cz CZE,FW,28-302,30,4,5,80.0,83,28,1,1,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Jan Kuchta,10.0,cz CZE,FW,28-302,30,5,4,0,0,0,0,0,0,0,0,0,0,4,1,0,Jan Kuchta,10.0,cz CZE,FW,28-302,30,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,Jan Kuchta,10.0,cz CZE,FW,28-302,30,9,1,1,3,5,2,9,0,0,,0,,4,27,0,0,0,0,1,1,6,2,Jan Kuchta,10.0,cz CZE,FW,28-302,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J3,Albion Rrahmani,Sparta Prague,UEFA Europa Conference League,9.0,xk KVX,LW,25-067,23,0,0,0,0,1,0,0,0,21,1,1,1,0.0,0.0,0.0,0,0,12,17,70.6,1,13,1,0,0,Albion Rrahmani,9.0,xk KVX,LW,25-067,23,12,17,70.6,133,8,10,14,71.4,1,2,50.0,0,0,,0,0.0,0.0,0,1,0,0,1,Albion Rrahmani,9.0,xk KVX,LW,25-067,23,17,17,0,0,0,0,0,0,0,0,0,0,12,0,0,Albion Rrahmani,9.0,xk KVX,LW,25-067,23,1,1,0,0,1,1,1,100.0,0,1,0,1,1,2,0,0,Albion Rrahmani,9.0,xk KVX,LW,25-067,23,21,0,3,10,8,1,21,0,0,,0,,13,57,24,1,1,0,1,0,16,4,Albion Rrahmani,9.0,xk KVX,LW,25-067,23,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0.0
J3,Lukáš Haraslín,Sparta Prague,UEFA Europa Conference League,22.0,sk SVK,LW,29-164,52,0,0,0,0,2,1,0,0,28,1,0,0,0.1,0.1,0.1,3,0,18,22,81.8,1,19,4,2,1,Lukáš Haraslín,22.0,sk SVK,LW,29-164,52,18,22,81.8,216,22,12,14,85.7,5,5,100.0,0,1,0.0,0,0.1,0.1,1,1,0,0,1,Lukáš Haraslín,22.0,sk SVK,LW,29-164,52,22,21,1,0,0,0,1,1,0,0,0,0,18,0,0,Lukáš Haraslín,22.0,sk SVK,LW,29-164,52,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Lukáš Haraslín,22.0,sk SVK,LW,29-164,52,28,0,0,11,18,3,28,2,1,50.0,1,50.0,19,147,81,4,2,1,2,0,22,5,Lukáš Haraslín,22.0,sk SVK,LW,29-164,52,0,0,0,1,1,2,1,0,1,0,0,0,3,0,0,
J3,Matěj Ryneš,Sparta Prague,UEFA Europa Conference League,11.0,cz CZE,LM,24-160,15,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,14,20,70.0,1,14,1,0,0,Matěj Ryneš,11.0,cz CZE,LM,24-160,15,14,20,70.0,264,109,9,9,100.0,2,4,50.0,3,6,50.0,0,0.0,0.0,0,2,1,0,1,Matěj Ryneš,11.0,cz CZE,LM,24-160,15,20,18,1,0,0,0,3,1,0,0,0,0,14,1,0,Matěj Ryneš,11.0,cz CZE,LM,24-160,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matěj Ryneš,11.0,cz CZE,LM,24-160,15,20,0,1,9,10,0,20,0,0,,0,,14,53,26,1,1,0,0,0,17,4,Matěj Ryneš,11.0,cz CZE,LM,24-160,15,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,
J3,Veljko Birmančević,Sparta Prague,UEFA Europa Conference League,14.0,rs SRB,"RW,LW",27-246,90,0,0,0,0,0,0,0,0,46,3,2,0,0.0,0.0,0.1,2,0,25,35,71.4,6,29,3,2,1,Veljko Birmančević,14.0,rs SRB,"RW,LW",27-246,90,25,35,71.4,348,151,15,20,75.0,7,9,77.8,1,2,50.0,0,0.1,0.1,1,5,1,0,6,Veljko Birmančević,14.0,rs SRB,"RW,LW",27-246,90,35,32,3,1,0,1,3,2,0,0,0,0,25,0,1,Veljko Birmančević,14.0,rs SRB,"RW,LW",27-246,90,3,3,1,1,1,1,1,100.0,0,0,0,0,2,5,0,0,Veljko Birmančević,14.0,rs SRB,"RW,LW",27-246,90,46,0,2,21,23,4,46,2,1,50.0,1,50.0,29,129,69,3,0,2,4,0,33,5,Veljko Birmančević,14.0,rs SRB,"RW,LW",27-246,90,0,0,0,0,3,1,3,2,3,0,0,0,5,0,1,0.0
J3,John Mercado,Sparta Prague,UEFA Europa Conference League,7.0,ec ECU,LM,23-156,75,0,0,0,0,0,0,0,0,50,2,1,0,0.0,0.0,0.0,1,0,37,43,86.0,2,28,1,2,0,John Mercado,7.0,ec ECU,LM,23-156,75,37,43,86.0,473,124,27,28,96.4,9,11,81.8,0,1,0.0,0,0.0,0.0,0,4,1,0,2,John Mercado,7.0,ec ECU,LM,23-156,75,43,42,1,0,0,0,2,1,0,0,0,0,37,0,1,John Mercado,7.0,ec ECU,LM,23-156,75,2,2,0,1,1,1,1,100.0,0,0,0,0,1,3,2,0,John Mercado,7.0,ec ECU,LM,23-156,75,50,0,9,27,14,0,50,2,0,0.0,2,100.0,28,97,42,1,1,0,0,1,36,3,John Mercado,7.0,ec ECU,LM,23-156,75,0,0,0,1,0,0,2,1,2,0,0,0,7,2,1,66.7
J3,Ángelo Preciado,Sparta Prague,UEFA Europa Conference League,17.0,ec ECU,RW,27-261,15,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,4,6,66.7,1,3,0,1,0,Ángelo Preciado,17.0,ec ECU,RW,27-261,15,4,6,66.7,45,20,3,3,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,Ángelo Preciado,17.0,ec ECU,RW,27-261,15,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1,Ángelo Preciado,17.0,ec ECU,RW,27-261,15,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Ángelo Preciado,17.0,ec ECU,RW,27-261,15,10,0,0,6,4,0,10,1,0,0.0,1,100.0,3,23,4,0,0,0,1,2,5,0,Ángelo Preciado,17.0,ec ECU,RW,27-261,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
J3,Kaan Kairinen,Sparta Prague,UEFA Europa Conference League,6.0,fi FIN,CM,26-319,90,0,0,0,0,0,0,0,0,96,1,1,1,0.0,0.0,0.5,5,0,83,91,91.2,13,65,0,1,1,Kaan Kairinen,6.0,fi FIN,CM,26-319,90,83,91,91.2,1733,474,22,22,100.0,45,46,97.8,15,21,71.4,0,0.5,0.7,4,10,3,1,13,Kaan Kairinen,6.0,fi FIN,CM,26-319,90,91,85,6,1,0,1,7,0,5,5,0,0,83,0,1,Kaan Kairinen,6.0,fi FIN,CM,26-319,90,1,0,0,1,0,0,0,,0,1,1,0,1,2,1,0,Kaan Kairinen,6.0,fi FIN,CM,26-319,90,96,3,23,54,20,1,96,1,1,100.0,0,0.0,65,319,162,0,0,0,0,1,74,1,Kaan Kairinen,6.0,fi FIN,CM,26-319,90,0,0,0,2,0,0,7,1,0,0,0,0,8,0,0,
J3,Patrik Vydra,Sparta Prague,UEFA Europa Conference League,26.0,cz CZE,CM,22-139,61,0,0,0,0,1,0,0,0,37,0,0,0,0.1,0.1,0.0,0,0,23,32,71.9,1,20,0,1,0,Patrik Vydra,26.0,cz CZE,CM,22-139,61,23,32,71.9,385,58,9,11,81.8,13,16,81.3,1,3,33.3,0,0.0,0.0,0,2,1,0,1,Patrik Vydra,26.0,cz CZE,CM,22-139,61,32,29,3,0,0,0,2,0,2,2,0,0,23,0,0,Patrik Vydra,26.0,cz CZE,CM,22-139,61,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Patrik Vydra,26.0,cz CZE,CM,22-139,61,37,2,4,23,10,0,37,1,0,0.0,1,100.0,20,89,24,0,1,0,2,0,26,2,Patrik Vydra,26.0,cz CZE,CM,22-139,61,0,0,0,0,1,0,2,0,0,0,0,0,5,2,1,66.7
