Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Metz,French Ligue 1,J6,52%,401 of 463 — 87%,0 of 7 — 0%,2 of 2 — 100%
Le Havre,French Ligue 1,J6,48%,80% — 335 of 420,20% — 2 of 10,% — 0 of 0
