,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J12,Matías Dituro,Elche,Spanish La Liga,ar ARG,38-183,90,5,1,4,100.0,1.6,14,24,58.3,55,2,36.4,32.0,6,66.7,49.3,8,1,12.5,9,21.1
J12,Álex Remiro,Real Sociedad,Spanish La Liga,es ESP,30-228,90,3,1,2,66.7,0.8,8,21,38.1,32,4,43.8,38.4,7,100.0,68.1,13,1,7.7,0,5.0
