Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Inter,UEFA Champions League,J4,65%,533 of 640 — 83%,8 of 23 — 35%,2 of 3 — 66%
Qaırat Almaty,UEFA Champions League,J4,35%,73% — 251 of 343,43% — 3 of 7,75% — 6 of 8
