Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Atlético Madrid,UEFA Champions League,J2,51%,559 of 624 — 90%,11 of 17 — 65%,1 of 2 — 50%
Eint Frankfurt,UEFA Champions League,J2,49%,85% — 499 of 588,33% — 2 of 6,63% — 7 of 11
