Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Werder Bremen,German Bundesliga,J8,57%,443 of 554 — 80%,3 of 16 — 19%,2 of 2 — 100%
Union Berlin,German Bundesliga,J8,43%,71% — 293 of 412,17% — 2 of 12,66% — 2 of 3
