,Player,,,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J4,Ayoub El Kaabi,Olympiacos,UEFA Champions League,9.0,ma MAR,FW,32-131,82,0,0,0,0,1,0,0,0,32,2,0,0,0.0,0.0,0.1,5,0,11,17,64.7,2,15,2,2,0,Ayoub El Kaabi,9.0,ma MAR,FW,32-131,82,11,17,64.7,103,30,4,6,66.7,2,4,50.0,0,0,,0,0.1,0.2,2,1,1,0,2,Ayoub El Kaabi,9.0,ma MAR,FW,32-131,82,17,17,0,0,0,0,0,0,0,0,0,0,11,0,0,Ayoub El Kaabi,9.0,ma MAR,FW,32-131,82,2,2,0,0,2,1,3,33.3,2,0,0,0,0,2,2,0,Ayoub El Kaabi,9.0,ma MAR,FW,32-131,82,32,2,2,6,24,3,32,2,0,0.0,2,100.0,15,99,42,2,2,1,8,1,21,5,Ayoub El Kaabi,9.0,ma MAR,FW,32-131,82,0,0,0,1,0,1,0,0,2,0,0,0,1,6,6,50.0
J4,Lorenzo Scipioni,Olympiacos,UEFA Champions League,16.0,ar ARG,DM,20-345,8,0,0,0,0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,1,0,0,0,Lorenzo Scipioni,16.0,ar ARG,DM,20-345,8,0,2,0.0,0,0,0,0,,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Lorenzo Scipioni,16.0,ar ARG,DM,20-345,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Lorenzo Scipioni,16.0,ar ARG,DM,20-345,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Lorenzo Scipioni,16.0,ar ARG,DM,20-345,8,2,0,2,0,0,0,2,0,0,,0,,1,2,0,0,0,0,0,0,0,0,Lorenzo Scipioni,16.0,ar ARG,DM,20-345,8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
J4,Daniel Podence,Olympiacos,UEFA Champions League,56.0,pt POR,LW,30-014,83,0,0,0,0,1,1,0,0,42,8,2,1,0.0,0.0,0.1,6,0,17,28,60.7,2,30,3,3,3,Daniel Podence,56.0,pt POR,LW,30-014,83,17,28,60.7,214,41,10,14,71.4,6,8,75.0,0,4,0.0,0,0.1,0.0,2,1,0,0,2,Daniel Podence,56.0,pt POR,LW,30-014,83,28,27,1,0,0,0,1,1,0,0,0,0,17,0,1,Daniel Podence,56.0,pt POR,LW,30-014,83,8,4,3,4,1,4,5,80.0,1,1,0,1,2,10,0,0,Daniel Podence,56.0,pt POR,LW,30-014,83,42,0,3,15,25,1,42,3,3,100.0,0,0.0,30,169,86,3,3,1,1,2,29,10,Daniel Podence,56.0,pt POR,LW,30-014,83,0,0,0,0,1,0,1,2,4,0,0,0,5,0,0,
J4,Costinha,Olympiacos,UEFA Champions League,20.0,pt POR,RB,25-223,7,0,0,0,0,0,0,0,0,5,2,1,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Costinha,20.0,pt POR,RB,25-223,7,1,1,100.0,4,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Costinha,20.0,pt POR,RB,25-223,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Costinha,20.0,pt POR,RB,25-223,7,2,0,2,0,0,1,2,50.0,1,0,0,0,1,3,1,0,Costinha,20.0,pt POR,RB,25-223,7,5,3,4,0,1,0,5,0,0,,0,,1,6,3,0,0,0,0,0,1,1,Costinha,20.0,pt POR,RB,25-223,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
J4,Gelson Martins,Olympiacos,UEFA Champions League,10.0,pt POR,"RW,LW",30-177,90,1,0,0,0,7,1,0,0,51,0,0,0,0.4,0.4,0.0,3,0,24,31,77.4,3,35,5,7,5,Gelson Martins,10.0,pt POR,"RW,LW",30-177,90,24,31,77.4,287,101,13,15,86.7,5,7,71.4,1,3,33.3,0,0.0,0.1,0,3,2,0,3,Gelson Martins,10.0,pt POR,"RW,LW",30-177,90,31,31,0,0,0,0,3,0,0,0,0,0,24,0,1,Gelson Martins,10.0,pt POR,"RW,LW",30-177,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Gelson Martins,10.0,pt POR,"RW,LW",30-177,90,51,1,2,21,29,9,51,7,5,71.4,1,14.3,35,136,70,5,2,2,4,3,35,4,Gelson Martins,10.0,pt POR,"RW,LW",30-177,90,0,0,0,0,3,0,3,0,0,0,0,0,8,0,1,0.0
J4,Chiquinho,Olympiacos,UEFA Champions League,22.0,pt POR,AM,30-108,73,0,1,0,0,5,2,0,0,28,0,1,0,0.3,0.3,0.1,5,1,13,18,72.2,3,11,1,2,1,Chiquinho,22.0,pt POR,AM,30-108,73,13,18,72.2,221,79,8,10,80.0,2,2,100.0,3,3,100.0,1,0.1,0.1,3,4,1,1,3,Chiquinho,22.0,pt POR,AM,30-108,73,18,17,1,0,0,0,1,0,0,0,0,0,13,0,0,Chiquinho,22.0,pt POR,AM,30-108,73,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Chiquinho,22.0,pt POR,AM,30-108,73,28,1,4,10,14,3,28,2,1,50.0,1,50.0,11,36,17,1,0,1,1,1,15,2,Chiquinho,22.0,pt POR,AM,30-108,73,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0.0
J4,Mehdi Taremi,Olympiacos,UEFA Champions League,99.0,ir IRN,"FW,AM",33-109,17,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,5,1,1,0,Mehdi Taremi,99.0,ir IRN,"FW,AM",33-109,17,5,6,83.3,76,42,1,1,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,2,0,0,1,Mehdi Taremi,99.0,ir IRN,"FW,AM",33-109,17,6,5,1,0,0,0,0,0,0,0,0,0,5,0,0,Mehdi Taremi,99.0,ir IRN,"FW,AM",33-109,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Mehdi Taremi,99.0,ir IRN,"FW,AM",33-109,17,9,0,2,3,4,1,9,1,0,0.0,1,100.0,5,32,17,1,0,0,1,1,6,2,Mehdi Taremi,99.0,ir IRN,"FW,AM",33-109,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
J4,Christos Mouzakitis,Olympiacos,UEFA Champions League,96.0,gr GRE,DM,18-314,90,0,0,0,0,1,0,0,0,48,4,2,3,0.0,0.0,0.0,2,0,25,35,71.4,7,19,0,1,1,Christos Mouzakitis,96.0,gr GRE,DM,18-314,90,25,35,71.4,445,205,10,15,66.7,11,13,84.6,3,4,75.0,0,0.0,0.0,0,4,0,0,7,Christos Mouzakitis,96.0,gr GRE,DM,18-314,90,35,34,1,1,0,0,1,0,0,0,0,0,25,0,1,Christos Mouzakitis,96.0,gr GRE,DM,18-314,90,4,3,0,3,1,2,3,66.7,1,3,1,2,2,6,1,0,Christos Mouzakitis,96.0,gr GRE,DM,18-314,90,48,2,7,31,10,0,48,1,1,100.0,0,0.0,19,108,36,0,0,0,0,0,17,2,Christos Mouzakitis,96.0,gr GRE,DM,18-314,90,0,0,0,1,1,0,1,2,3,0,0,0,8,0,0,
J4,Dani García,Olympiacos,UEFA Champions League,14.0,es ESP,DM,35-164,62,0,0,0,0,2,0,0,0,22,1,0,1,0.1,0.1,0.0,2,0,13,14,92.9,2,6,0,0,0,Dani García,14.0,es ESP,DM,35-164,62,13,14,92.9,303,41,4,5,80.0,5,5,100.0,4,4,100.0,0,0.0,0.0,0,4,0,0,2,Dani García,14.0,es ESP,DM,35-164,62,14,13,1,1,0,0,0,0,0,0,0,0,13,0,0,Dani García,14.0,es ESP,DM,35-164,62,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,2,0,Dani García,14.0,es ESP,DM,35-164,62,22,2,6,14,2,1,22,0,0,,0,,6,19,4,0,0,0,1,0,7,0,Dani García,14.0,es ESP,DM,35-164,62,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
J4,Diogo Nascimento,Olympiacos,UEFA Champions League,8.0,pt POR,"DM,AM",23-002,28,0,0,0,0,0,0,0,0,10,0,1,1,0.0,0.0,0.2,1,0,6,6,100.0,1,6,0,0,0,Diogo Nascimento,8.0,pt POR,"DM,AM",23-002,28,6,6,100.0,77,17,3,3,100.0,2,2,100.0,0,0,,0,0.2,0.0,1,0,0,0,1,Diogo Nascimento,8.0,pt POR,"DM,AM",23-002,28,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Diogo Nascimento,8.0,pt POR,"DM,AM",23-002,28,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Diogo Nascimento,8.0,pt POR,"DM,AM",23-002,28,10,1,5,3,3,2,10,0,0,,0,,6,28,15,0,0,0,0,0,4,1,Diogo Nascimento,8.0,pt POR,"DM,AM",23-002,28,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,
