,Player,,,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J4,Anatolii Trubin,Benfica,UEFA Champions League,ua UKR,24-096,90,3,1,2,66.7,0.6,4,7,57.1,30,3,23.3,25.3,0,,,3,0,0.0,1,24.0
J4,Mark Flekken,Leverkusen,UEFA Champions League,nl NED,32-145,90,5,0,5,100.0,0.7,5,13,38.5,36,4,19.4,28.1,11,54.5,36.5,20,0,0.0,1,16.0
