Game Week,Player,Team,League,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J2,Thiago,Brentford,English Premier League,9.0,br BRA,FW,24-058,90,0,0,0,0,3,0,0,0,32,2,0,0,0.2,0.2,0.6,3,0,10,11,90.9,1,14,3,3,0,Thiago,9.0,br BRA,FW,24-058,90,10,11,90.9,138,40,6,6,100.0,2,2,100.0,1,1,100.0,0,0.6,0.0,1,0,0,0,1,Thiago,9.0,br BRA,FW,24-058,90,11,11,0,0,1,0,0,0,0,0,0,0,10,0,0,Thiago,9.0,br BRA,FW,24-058,90,2,1,1,1,0,0,1,0.0,1,0,0,0,0,2,3,0,Thiago,9.0,br BRA,FW,24-058,90,32,6,7,13,13,5,32,3,0,0.0,3,100.0,14,93,59,3,3,1,4,2,18,3,Thiago,9.0,br BRA,FW,24-058,90,0,0,0,2,0,1,0,0,1,0,0,0,3,4,4,50.0
J2,Kevin Schade,Brentford,English Premier League,7.0,de GER,LW,23-269,78,0,0,0,0,1,0,0,0,23,2,1,1,0.1,0.1,0.1,1,0,4,13,30.8,0,10,2,1,1,Kevin Schade,7.0,de GER,LW,23-269,78,4,13,30.8,112,35,2,5,40.0,1,4,25.0,1,3,33.3,0,0.1,0.0,1,0,0,0,0,Kevin Schade,7.0,de GER,LW,23-269,78,13,13,0,0,1,0,2,0,0,0,0,0,4,0,0,Kevin Schade,7.0,de GER,LW,23-269,78,2,1,0,1,1,0,1,0.0,1,1,1,0,1,3,1,0,Kevin Schade,7.0,de GER,LW,23-269,78,23,3,4,12,8,3,23,1,1,100.0,0,0.0,10,68,33,2,1,1,1,1,14,2,Kevin Schade,7.0,de GER,LW,23-269,78,0,0,0,0,1,0,2,1,1,0,0,0,5,3,2,60.0
J2,Aaron Hickey,Brentford,English Premier League,2.0,sct SCO,"RB,LW",23-074,12,0,0,0,0,0,0,0,0,6,2,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0,Aaron Hickey,2.0,sct SCO,"RB,LW",23-074,12,2,4,50.0,15,0,2,3,66.7,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Aaron Hickey,2.0,sct SCO,"RB,LW",23-074,12,4,3,1,0,0,0,0,1,0,0,0,0,2,0,0,Aaron Hickey,2.0,sct SCO,"RB,LW",23-074,12,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,0,0,Aaron Hickey,2.0,sct SCO,"RB,LW",23-074,12,6,0,4,1,1,0,6,0,0,,0,,1,18,17,0,0,0,0,0,1,0,Aaron Hickey,2.0,sct SCO,"RB,LW",23-074,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
J2,Dango Ouattara,Brentford,English Premier League,19.0,bf BFA,RW,23-193,83,1,0,0,0,2,2,0,0,32,4,0,2,0.8,0.8,0.0,3,1,5,13,38.5,0,15,2,5,2,Dango Ouattara,19.0,bf BFA,RW,23-193,83,5,13,38.5,91,38,2,3,66.7,2,4,50.0,1,5,20.0,0,0.0,0.0,0,0,0,0,0,Dango Ouattara,19.0,bf BFA,RW,23-193,83,13,13,0,0,1,0,1,0,0,0,0,0,5,0,0,Dango Ouattara,19.0,bf BFA,RW,23-193,83,4,2,1,1,2,2,3,66.7,1,2,0,2,0,4,5,0,Dango Ouattara,19.0,bf BFA,RW,23-193,83,32,4,11,9,13,5,32,5,2,40.0,2,40.0,15,100,52,2,1,2,3,0,12,4,Dango Ouattara,19.0,bf BFA,RW,23-193,83,0,0,0,4,1,0,1,0,2,0,0,0,6,3,1,75.0
J2,Rico Henry,Brentford,English Premier League,3.0,eng ENG,LB,28-046,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Rico Henry,3.0,eng ENG,LB,28-046,7,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Rico Henry,3.0,eng ENG,LB,28-046,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rico Henry,3.0,eng ENG,LB,28-046,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Rico Henry,3.0,eng ENG,LB,28-046,7,2,1,1,0,1,0,2,0,0,,0,,1,42,0,0,1,0,1,0,1,0,Rico Henry,3.0,eng ENG,LB,28-046,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J2,Mikkel Damsgaard,Brentford,English Premier League,24.0,dk DEN,"AM,RM",25-051,90,0,0,0,0,1,0,0,0,49,3,2,5,0.1,0.1,0.3,6,0,21,30,70.0,4,21,3,3,2,Mikkel Damsgaard,24.0,dk DEN,"AM,RM",25-051,90,21,30,70.0,373,198,9,10,90.0,8,9,88.9,3,7,42.9,0,0.3,0.2,3,4,2,1,4,Mikkel Damsgaard,24.0,dk DEN,"AM,RM",25-051,90,30,24,5,2,0,0,7,0,2,2,0,0,21,1,1,Mikkel Damsgaard,24.0,dk DEN,"AM,RM",25-051,90,3,2,1,0,2,1,3,33.3,2,5,1,4,2,5,3,0,Mikkel Damsgaard,24.0,dk DEN,"AM,RM",25-051,90,49,5,13,20,16,4,49,3,2,66.7,1,33.3,21,139,70,3,3,2,2,2,21,3,Mikkel Damsgaard,24.0,dk DEN,"AM,RM",25-051,90,0,0,0,0,1,0,7,2,2,0,0,0,7,0,1,0.0
J2,Jordan Henderson,Brentford,English Premier League,6.0,eng ENG,DM,35-067,68,0,0,0,0,1,0,0,0,27,2,2,3,0.0,0.0,0.0,1,0,12,17,70.6,1,11,0,0,0,Jordan Henderson,6.0,eng ENG,DM,35-067,68,12,17,70.6,221,79,5,6,83.3,3,5,60.0,2,4,50.0,0,0.0,0.0,0,1,0,0,1,Jordan Henderson,6.0,eng ENG,DM,35-067,68,17,17,0,0,0,0,0,0,0,0,0,0,12,0,0,Jordan Henderson,6.0,eng ENG,DM,35-067,68,2,0,1,1,0,1,2,50.0,1,3,1,2,2,4,0,0,Jordan Henderson,6.0,eng ENG,DM,35-067,68,27,2,9,17,2,1,27,0,0,,0,,11,23,7,0,0,0,1,0,12,0,Jordan Henderson,6.0,eng ENG,DM,35-067,68,0,0,0,1,1,0,0,2,0,0,0,0,4,0,1,0.0
J2,Frank Onyeka,Brentford,English Premier League,15.0,ng NGA,"DM,CM",27-234,22,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,3,0,0,0,Frank Onyeka,15.0,ng NGA,"DM,CM",27-234,22,3,4,75.0,39,28,2,2,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,2,0,0,1,Frank Onyeka,15.0,ng NGA,"DM,CM",27-234,22,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Frank Onyeka,15.0,ng NGA,"DM,CM",27-234,22,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Frank Onyeka,15.0,ng NGA,"DM,CM",27-234,22,7,2,2,5,0,0,7,0,0,,0,,3,11,2,0,0,0,0,0,2,0,Frank Onyeka,15.0,ng NGA,"DM,CM",27-234,22,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,
J2,Yehor Yarmoliuk,Brentford,English Premier League,18.0,ua UKR,DM,21-175,78,0,0,0,0,1,0,0,0,27,5,2,3,0.0,0.0,0.0,0,0,11,11,100.0,0,8,0,1,1,Yehor Yarmoliuk,18.0,ua UKR,DM,21-175,78,11,11,100.0,156,31,8,8,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,1,1,0,Yehor Yarmoliuk,18.0,ua UKR,DM,21-175,78,11,11,0,0,0,0,1,0,0,0,0,0,11,0,0,Yehor Yarmoliuk,18.0,ua UKR,DM,21-175,78,5,3,2,3,0,4,4,100.0,0,3,0,3,2,7,6,0,Yehor Yarmoliuk,18.0,ua UKR,DM,21-175,78,27,5,16,8,3,0,27,1,1,100.0,0,0.0,8,47,5,0,1,0,1,1,6,1,Yehor Yarmoliuk,18.0,ua UKR,DM,21-175,78,0,0,0,1,0,0,1,2,3,0,0,0,4,0,2,0.0
J2,Mathias Jensen,Brentford,English Premier League,8.0,dk DEN,"CM,DM",29-234,12,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,1,0,0,0,Mathias Jensen,8.0,dk DEN,"CM,DM",29-234,12,4,4,100.0,41,13,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0,0,1,0,1,Mathias Jensen,8.0,dk DEN,"CM,DM",29-234,12,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Mathias Jensen,8.0,dk DEN,"CM,DM",29-234,12,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,Mathias Jensen,8.0,dk DEN,"CM,DM",29-234,12,5,1,1,3,1,0,5,0,0,,0,,1,3,0,0,0,0,0,0,2,0,Mathias Jensen,8.0,dk DEN,"CM,DM",29-234,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
