Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Chelsea,UEFA Champions League,J3,65%,569 of 633 — 90%,8 of 20 — 40%,0 of 0 — %
Ajax,UEFA Champions League,J3,35%,78% — 264 of 340,0% — 0 of 1,62% — 5 of 8
