Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Benito Ramírez,J14,LB,Defender,Las Palmas,Spanish La Liga,30.0,6.33,29,ESP
Scott McKenna,J14,CB,Defender,Las Palmas,Spanish La Liga,90.0,5.99,28,SCO
Álex Suárez,J14,CB,Defender,Las Palmas,Spanish La Liga,90.0,5.9,31,ESP
Viti,J14,RB,Defender,Las Palmas,Spanish La Liga,90.0,7.03,27,ESP
Antonio Sánchez,J14,RB,Defender,Mallorca,Spanish La Liga,20.0,6.31,27,ESP
Johan Mojica,J14,LB,Defender,Mallorca,Spanish La Liga,90.0,6.62,32,COL
Antonio Raillo,J14,CB,Defender,Mallorca,Spanish La Liga,70.0,5.92,33,ESP
Copete,J14,CB,Defender,Mallorca,Spanish La Liga,20.0,5.51,25,ESP
Martin Valjent,J14,CB,Defender,Mallorca,Spanish La Liga,90.0,6.59,28,SVK
Mateu Morey,J14,RB,Defender,Mallorca,Spanish La Liga,85.0,6.57,24,ESP
Daley Blind,J14,LB,Defender,Girona,Spanish La Liga,90.0,7.11,34,NED
