Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Diego Rico,J18,LB,Defender,Getafe,Spanish La Liga,90.0,6.65,31,ESP
Omar Alderete,J18,CB,Defender,Getafe,Spanish La Liga,90.0,6.86,27,PAR
Djené,J18,CB,Defender,Getafe,Spanish La Liga,45.0,5.57,32,TOG
Juan Berrocal,J18,CB,Defender,Getafe,Spanish La Liga,45.0,6.48,25,ESP
Iglesias,J18,RB,Defender,Getafe,Spanish La Liga,90.0,6.72,26,ESP
Johan Mojica,J18,LB,Defender,Mallorca,Spanish La Liga,90.0,6.37,32,COL
Antonio Raillo,J18,CB,Defender,Mallorca,Spanish La Liga,90.0,6.4,33,ESP
Martin Valjent,J18,CB,Defender,Mallorca,Spanish La Liga,90.0,5.97,29,SVK
Pablo Maffeo,J18,RB,Defender,Mallorca,Spanish La Liga,90.0,7.22,27,ESP
Marcos Alonso,J18,CB,Defender,Celta Vigo,Spanish La Liga,90.0,7.11,33,ESP
Carl Starfelt,J18,CB,Defender,Celta Vigo,Spanish La Liga,90.0,6.34,29,SWE
Javi Rodríguez,J18,CB,Defender,Celta Vigo,Spanish La Liga,90.0,6.74,21,ESP
Aihen Muñoz,J18,LB,Defender,Real Sociedad,Spanish La Liga,45.0,7.25,27,ESP
Jon Martin,J18,CB,Defender,Real Sociedad,Spanish La Liga,45.0,6.96,18,ESP
Jon Pacheco,J18,CB,Defender,Real Sociedad,Spanish La Liga,90.0,6.7,23,ESP
Igor Zubeldia,J18,CB,Defender,Real Sociedad,Spanish La Liga,90.0,6.96,27,ESP
Juan Cruz Armada,J18,LB,Defender,Osasuna,Spanish La Liga,56.0,6.64,32,ESP
Abel,J18,LB,Defender,Osasuna,Spanish La Liga,34.0,7.05,24,ESP
Jorge Herrando,J18,CB,Defender,Osasuna,Spanish La Liga,90.0,6.6,23,ESP
Enzo Boyomo,J18,CB,Defender,Osasuna,Spanish La Liga,90.0,6.72,23,CMR
Jesús Areso,J18,RB,Defender,Osasuna,Spanish La Liga,90.0,6.73,25,ESP
Yuri Berchiche,J18,LB,Defender,Athletic Club,Spanish La Liga,90.0,7.03,34,ESP
