Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Adam Sevinsky,Sparta Prague,UEFA Champions League,CB,Defender,CZE,20,6.43,90,1,6.43
Adam Smith,Bournemouth,English Premier League,RB,Defender,ENG,34,156.85,1590,25,6.27
Adam Ståhl,Djurgården,UEFA Europa Conference League,RB,Defender,FIN,30,67.64,989,11,6.15
Adam Sørensen,Bodø/Glimt,UEFA Europa League,LB,Defender,DEN,23,6.29,10,1,6.29
Adam Webster,Brighton,English Premier League,CB,Defender,ENG,30,95.02,887,14,6.79
Adam Wharton,Crystal Palace,English Premier League,CM,Midfielder,ENG,20,137.8,1318,20,6.89
Adam Wilson,The New Saints,UEFA Europa Conference League,AM,Forward,KEN,24,35.5,168,6,5.92
Adama Boiro,Athletic Club,"Spanish La Liga, UEFA Europa League",LB,Defender,ESP,22,123.15,1176,19,6.48
Adama Traoré,"Ferencváros, Fulham","English Premier League, UEFA Europa League",RW,Forward,ESP,29,304.95,2464,46,6.63
Adamo Nagalo,PSV Eindhoven,UEFA Champions League,CB,Defender,BFA,22,33.99,146,5,6.8
Ademola Lookman,Atalanta,"Italian Serie A, UEFA Champions League",AM,Forward,NGA,27,267.83,2726,38,7.05
Adil Taoui,LASK,UEFA Europa Conference League,CM,Midfielder,FRA,23,23.79,107,4,5.95
Adnan Januzaj,Las Palmas,Spanish La Liga,AM,Forward,BEL,30,121.82,598,18,6.77
Ado Onaiwu,Auxerre,French Ligue 1,AM,Forward,JPN,29,194.35,957,31,6.27
Adri Embarba,Rayo Vallecano,Spanish La Liga,LW,Forward,ESP,33,226.84,1607,35,6.48
Adrian Baquerin,Valladolid,Spanish La Liga,AM,Forward,ESP,18,30.51,49,5,6.1
Adrian Beck,Heidenheim,"German Bundesliga, UEFA Europa Conference League",AM,Forward,GER,27,256.87,2078,40,6.42
Adrian Benedyczak,Parma,Italian Serie A,AM,Forward,POL,24,51.48,214,9,5.72
Adrian Bernabe,Parma,Italian Serie A,DM,Midfielder,ESP,23,135.47,1453,21,6.45
Adrian Cieślewicz,The New Saints,UEFA Europa Conference League,AM,Defender,POL,34,23.23,50,4,5.81
Adrian Niño,Atlético Madrid,Spanish La Liga,AM,Forward,ESP,20,6.41,12,1,6.41
Adrian Skogmar,Malmö,UEFA Europa League,RB,Defender,SWE,19,11.95,99,2,5.98
Adrian Șut,FCSB,UEFA Europa League,DM,Midfielder,ROU,25,68.8,879,11,6.25
Adriano Bregou,Panathinaikos,UEFA Europa Conference League,LM,Midfielder,GRE,18,5.81,2,1,5.81
Adrien Rabiot,Marseille,French Ligue 1,AM,Forward,FRA,30,194.83,2485,29,6.72
Adrien Tameze,Torino,Italian Serie A,CM,Midfielder,CMR,31,118.17,649,20,5.91
Adrien Thomasson,Lens,French Ligue 1,CM,Midfielder,FRA,31,220.96,2615,33,6.7
