Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Michele Di Gregorio,J7,GK,Goalkeeper,Juventus,UEFA Champions League,90,6.78,27,ITA
Omri Glazer,J7,GK,Goalkeeper,Red Star,UEFA Champions League,90,5.13,28,ISR
Walter Benítez,J7,GK,Goalkeeper,PSV Eindhoven,UEFA Champions League,90,7.13,32,ARG
Dominik Takáč,J7,GK,Goalkeeper,Slovan Bratislava,UEFA Champions League,90,6.2,26,SVK
Alexander Nübel,J7,GK,Goalkeeper,Stuttgart,UEFA Champions League,90,5.97,28,GER
Jan Oblak,J7,GK,Goalkeeper,Atlético Madrid,UEFA Champions League,90,6.66,32,SVN
Matej Kovar,J7,GK,Goalkeeper,Leverkusen,UEFA Champions League,90,5.55,24,CZE
Jacopo Seghetti,J20,GK,Goalkeeper,Empoli,Italian Serie A,90,5.52,19,ITA
Wladimiro Falcone,J20,GK,Goalkeeper,Lecce,Italian Serie A,90,7.05,29,ITA
Dmytro Riznyk,J7,GK,Goalkeeper,Shakhtar,UEFA Champions League,90,7.55,25,UKR
Marco Bizot,J7,GK,Goalkeeper,Brest,UEFA Champions League,90,6.51,33,NED
David Raya,J7,GK,Goalkeeper,Arsenal,UEFA Champions League,90,6.6,29,ESP
Ivan Nevistić,J7,GK,Goalkeeper,Dinamo Zagreb,UEFA Champions League,90,5.14,26,CRO
Kasper Schmeichel,J7,GK,Goalkeeper,Celtic,UEFA Champions League,90,7.46,38,DEN
Marvin Keller,J7,GK,Goalkeeper,Young Boys,UEFA Champions League,90,7.01,22,SUI
Thibaut Courtois,J7,GK,Goalkeeper,Real Madrid,UEFA Champions League,90,6.29,32,BEL
Janis Blaswich,J7,GK,Goalkeeper,RB Salzburg,UEFA Champions League,90,5.08,33,GER
Mike Maignan,J7,GK,Goalkeeper,Milan,UEFA Champions League,90,7.44,29,FRA
Paulo Gazzaniga,J7,GK,Goalkeeper,Girona,UEFA Champions League,90,6.57,33,ARG
Gianluigi Donnarumma,J7,GK,Goalkeeper,Paris S-G,UEFA Champions League,90,6.52,25,ITA
Ederson,J7,GK,Goalkeeper,Manchester City,UEFA Champions League,90,5.92,31,BRA
Peter Vindahl Jensen,J7,GK,Goalkeeper,Sparta Prague,UEFA Champions League,90,6.52,26,DEN
Yann Sommer,J7,GK,Goalkeeper,Inter,UEFA Champions League,90,7.31,36,SUI
Justin Bijlow,J7,GK,Goalkeeper,Feyenoord,UEFA Champions League,90,7.99,27,NED
Manuel Neuer,J7,GK,Goalkeeper,Bayern Munich,UEFA Champions League,90,5.21,38,GER
Ederson,J8,GK,Goalkeeper,Manchester City,UEFA Champions League,90,6.31,31,BRA
Simon Mignolet,J8,GK,Goalkeeper,Club Brugge,UEFA Champions League,90,5.66,36,BEL
Emiliano Martínez,J8,GK,Goalkeeper,Aston Villa,UEFA Champions League,90,6.29,32,ARG
Kasper Schmeichel,J8,GK,Goalkeeper,Celtic,UEFA Champions League,90,6.09,38,DEN
Razvan Sava,J20,GK,Goalkeeper,Udinese,Italian Serie A,90,6.93,22,ROU
Marco Carnesecchi,J20,GK,Goalkeeper,Atalanta,Italian Serie A,90,7.61,24,ITA
Franco Israel,J8,GK,Goalkeeper,Sporting CP,UEFA Champions League,90,6.32,24,URU
Federico Ravaglia,J8,GK,Goalkeeper,Bologna,UEFA Champions League,90,6.33,25,ITA
Manuel Neuer,J8,GK,Goalkeeper,Bayern Munich,UEFA Champions League,90,6.45,38,GER
Dominik Takáč,J8,GK,Goalkeeper,Slovan Bratislava,UEFA Champions League,90,6.24,26,SVK
Mattia Perin,J8,GK,Goalkeeper,Juventus,UEFA Champions League,90,6.43,32,ITA
Anatolii Trubin,J8,GK,Goalkeeper,Benfica,UEFA Champions League,90,7.5,23,UKR
Wojciech Szczęsny,J8,GK,Goalkeeper,Barcelona,UEFA Champions League,90,6.05,34,POL
Marco Carnesecchi,J8,GK,Goalkeeper,Atalanta,UEFA Champions League,90,6.9,24,ITA
Gregor Kobel,J8,GK,Goalkeeper,Dortmund,UEFA Champions League,90,5.88,27,SUI
Dmytro Riznyk,J8,GK,Goalkeeper,Shakhtar,UEFA Champions League,90,6.0,25,UKR
Yann Sommer,J8,GK,Goalkeeper,Inter,UEFA Champions League,90,6.69,36,SUI
Radosław Majecki,J8,GK,Goalkeeper,Monaco,UEFA Champions League,90,5.59,25,POL
Matej Kovar,J8,GK,Goalkeeper,Leverkusen,UEFA Champions League,90,6.84,24,CZE
Peter Vindahl Jensen,J8,GK,Goalkeeper,Sparta Prague,UEFA Champions League,90,6.31,26,DEN
Alexander Schlager,J8,GK,Goalkeeper,RB Salzburg,UEFA Champions League,90,5.73,28,AUT
Jan Oblak,J8,GK,Goalkeeper,Atlético Madrid,UEFA Champions League,90,6.21,32,SVN
Vanja Milinković-Savić,J20,GK,Goalkeeper,Torino,Italian Serie A,90,6.73,27,SRB
Michele Di Gregorio,J20,GK,Goalkeeper,Juventus,Italian Serie A,90,5.96,27,ITA
Fabian Bredlow,J8,GK,Goalkeeper,Stuttgart,UEFA Champions League,90,5.55,29,GER
Gianluigi Donnarumma,J8,GK,Goalkeeper,Paris S-G,UEFA Champions League,90,6.61,25,ITA
Kjell Scherpen,J8,GK,Goalkeeper,Sturm Graz,UEFA Champions League,90,7.68,25,NED
Maarten Vandevoordt,J8,GK,Goalkeeper,RB Leipzig,UEFA Champions League,90,6.64,22,BEL
Ivan Nevistić,J8,GK,Goalkeeper,Dinamo Zagreb,UEFA Champions League,90,7.0,26,CRO
Mike Maignan,J8,GK,Goalkeeper,Milan,UEFA Champions League,90,5.77,29,FRA
Rui Silva,J9,GK,Goalkeeper,Sporting CP,UEFA Champions League,90,6.13,31,POR
Gregor Kobel,J9,GK,Goalkeeper,Dortmund,UEFA Champions League,90,7.51,27,SUI
Ederson,J9,GK,Goalkeeper,Manchester City,UEFA Champions League,90,6.3,31,BRA
Thibaut Courtois,J9,GK,Goalkeeper,Real Madrid,UEFA Champions League,90,5.91,32,BEL
Michele Di Gregorio,J9,GK,Goalkeeper,Juventus,UEFA Champions League,90,5.88,27,ITA
Walter Benítez,J9,GK,Goalkeeper,PSV Eindhoven,UEFA Champions League,90,6.56,32,ARG
Simone Scuffet,J2,GK,Goalkeeper,Cagliari,Italian Serie A,90,6.55,28,ITA
Pepe Reina,J2,GK,Goalkeeper,Como,Italian Serie A,90,6.97,41,ESP
Simon Mignolet,J9,GK,Goalkeeper,Club Brugge,UEFA Champions League,90,7.05,36,BEL
Rui Patrício,J9,GK,Goalkeeper,Atalanta,UEFA Champions League,90,5.64,36,POR
Kasper Schmeichel,J9,GK,Goalkeeper,Celtic,UEFA Champions League,90,5.55,38,DEN
Manuel Neuer,J9,GK,Goalkeeper,Bayern Munich,UEFA Champions League,90,6.67,38,GER
Radosław Majecki,J9,GK,Goalkeeper,Monaco,UEFA Champions League,90,7.05,25,POL
Anatolii Trubin,J9,GK,Goalkeeper,Benfica,UEFA Champions League,90,7.06,23,UKR
Timon Wellenreuther,J9,GK,Goalkeeper,Feyenoord,UEFA Champions League,90,7.64,29,GER
Mike Maignan,J9,GK,Goalkeeper,Milan,UEFA Champions League,90,5.97,29,FRA
Mike Maignan,J10,GK,Goalkeeper,Milan,UEFA Champions League,90,6.07,29,FRA
Timon Wellenreuther,J10,GK,Goalkeeper,Feyenoord,UEFA Champions League,90,7.06,29,GER
Anatolii Trubin,J10,GK,Goalkeeper,Benfica,UEFA Champions League,90,5.33,23,UKR
Radosław Majecki,J10,GK,Goalkeeper,Monaco,UEFA Champions League,90,5.6,25,POL
Marco Carnesecchi,J10,GK,Goalkeeper,Atalanta,UEFA Champions League,90,5.09,24,ITA
Simon Mignolet,J10,GK,Goalkeeper,Club Brugge,UEFA Champions League,90,7.56,36,BEL
Manuel Neuer,J10,GK,Goalkeeper,Bayern Munich,UEFA Champions League,90,6.07,38,GER
Kasper Schmeichel,J10,GK,Goalkeeper,Celtic,UEFA Champions League,90,7.25,38,DEN
Gregor Kobel,J10,GK,Goalkeeper,Dortmund,UEFA Champions League,90,7.19,27,SUI
Rui Silva,J10,GK,Goalkeeper,Sporting CP,UEFA Champions League,90,7.72,31,POR
Walter Benítez,J10,GK,Goalkeeper,PSV Eindhoven,UEFA Champions League,90,6.96,32,ARG
Michele Di Gregorio,J10,GK,Goalkeeper,Juventus,UEFA Champions League,90,6.82,27,ITA
Nicola Leali,J20,GK,Goalkeeper,Genoa,Italian Serie A,90,7.58,31,ITA
Zion Suzuki,J20,GK,Goalkeeper,Parma,Italian Serie A,90,6.06,22,JPN
Thibaut Courtois,J10,GK,Goalkeeper,Real Madrid,UEFA Champions League,90,6.6,32,BEL
Ederson,J10,GK,Goalkeeper,Manchester City,UEFA Champions League,90,5.82,31,BRA
Gianluigi Donnarumma,J10,GK,Goalkeeper,Paris S-G,UEFA Champions League,90,7.35,25,ITA
Grégoire Coudert,J10,GK,Goalkeeper,Brest,UEFA Champions League,90,5.64,25,FRA
Simon Mignolet,J11,GK,Goalkeeper,Club Brugge,UEFA Champions League,90,5.41,36,BEL
Emiliano Martínez,J11,GK,Goalkeeper,Aston Villa,UEFA Champions League,90,6.01,32,ARG
Walter Benítez,J11,GK,Goalkeeper,PSV Eindhoven,UEFA Champions League,90,4.96,32,ARG
David Raya,J11,GK,Goalkeeper,Arsenal,UEFA Champions League,90,6.58,29,ESP
Gregor Kobel,J11,GK,Goalkeeper,Dortmund,UEFA Champions League,90,6.05,27,SUI
Lucas Chevalier,J11,GK,Goalkeeper,Lille,UEFA Champions League,90,5.78,23,FRA
Thibaut Courtois,J11,GK,Goalkeeper,Real Madrid,UEFA Champions League,90,5.83,32,BEL
Jan Oblak,J11,GK,Goalkeeper,Atlético Madrid,UEFA Champions League,90,6.06,32,SVN
Timon Wellenreuther,J11,GK,Goalkeeper,Feyenoord,UEFA Champions League,90,6.76,29,GER
Josep Martinez,J11,GK,Goalkeeper,Inter,UEFA Champions League,90,7.35,26,ESP
Anatolii Trubin,J11,GK,Goalkeeper,Benfica,UEFA Champions League,90,6.79,23,UKR
Wojciech Szczęsny,J11,GK,Goalkeeper,Barcelona,UEFA Champions League,90,8.14,34,POL
Gianluigi Donnarumma,J11,GK,Goalkeeper,Paris S-G,UEFA Champions League,90,5.63,26,ITA
Alisson,J11,GK,Goalkeeper,Liverpool,UEFA Champions League,90,7.87,32,BRA
Wojciech Szczęsny,J12,GK,Goalkeeper,Barcelona,UEFA Champions League,90,6.14,34,POL
Anatolii Trubin,J12,GK,Goalkeeper,Benfica,UEFA Champions League,90,5.53,23,UKR
Alisson,J12,GK,Goalkeeper,Liverpool,UEFA Champions League,90,7.49,32,BRA
Gianluigi Donnarumma,J12,GK,Goalkeeper,Paris S-G,UEFA Champions League,90,7.12,26,ITA
Lukáš Hrádecký,J12,GK,Goalkeeper,Leverkusen,UEFA Champions League,90,6.18,35,FIN
Jonas Urbig,J12,GK,Goalkeeper,Bayern Munich,UEFA Champions League,90,7.29,21,GER
Yann Sommer,J12,GK,Goalkeeper,Inter,UEFA Champions League,90,6.3,36,SUI
Timon Wellenreuther,J12,GK,Goalkeeper,Feyenoord,UEFA Champions League,90,6.53,29,GER
Lucas Chevalier,J12,GK,Goalkeeper,Lille,UEFA Champions League,90,6.72,23,FRA
Gregor Kobel,J12,GK,Goalkeeper,Dortmund,UEFA Champions League,90,7.02,27,SUI
Jan Oblak,J12,GK,Goalkeeper,Atlético Madrid,UEFA Champions League,90,7.37,32,SVN
Thibaut Courtois,J12,GK,Goalkeeper,Real Madrid,UEFA Champions League,90,7.11,32,BEL
David Raya,J13,GK,Goalkeeper,Arsenal,UEFA Champions League,90,7.3,29,ESP
Thibaut Courtois,J13,GK,Goalkeeper,Real Madrid,UEFA Champions League,90,5.86,32,BEL
Jonas Urbig,J13,GK,Goalkeeper,Bayern Munich,UEFA Champions League,90,5.84,21,GER
Yann Sommer,J13,GK,Goalkeeper,Inter,UEFA Champions League,90,7.18,36,SUI
Łukasz Skorupski,J20,GK,Goalkeeper,Bologna,Italian Serie A,90,5.92,33,POL
Mile Svilar,J20,GK,Goalkeeper,Roma,Italian Serie A,90,6.64,25,SRB
Gianluigi Donnarumma,J13,GK,Goalkeeper,Paris S-G,UEFA Champions League,90,5.88,26,ITA
Emiliano Martínez,J13,GK,Goalkeeper,Aston Villa,UEFA Champions League,90,5.82,32,ARG
Emiliano Martínez,J14,GK,Goalkeeper,Aston Villa,UEFA Champions League,90,6.65,32,ARG
Gianluigi Donnarumma,J14,GK,Goalkeeper,Paris S-G,UEFA Champions League,90,6.07,26,ITA
Gregor Kobel,J14,GK,Goalkeeper,Dortmund,UEFA Champions League,90,5.95,27,SUI
Wojciech Szczęsny,J14,GK,Goalkeeper,Barcelona,UEFA Champions League,90,6.87,34,POL
Thibaut Courtois,J14,GK,Goalkeeper,Real Madrid,UEFA Champions League,90,6.08,32,BEL
David Raya,J14,GK,Goalkeeper,Arsenal,UEFA Champions League,90,6.86,29,ESP
David Raya,J15,GK,Goalkeeper,Arsenal,UEFA Champions League,90,6.53,29,ESP
Gianluigi Donnarumma,J15,GK,Goalkeeper,Paris S-G,UEFA Champions League,90,7.86,26,ITA
Wojciech Szczęsny,J15,GK,Goalkeeper,Barcelona,UEFA Champions League,90,5.2,35,POL
Yann Sommer,J15,GK,Goalkeeper,Inter,UEFA Champions League,90,6.25,36,SUI
Yann Sommer,J16,GK,Goalkeeper,Inter,UEFA Champions League,90,6.9,36,SUI
Wojciech Szczęsny,J16,GK,Goalkeeper,Barcelona,UEFA Champions League,90,6.09,35,POL
Gianluigi Donnarumma,J16,GK,Goalkeeper,Paris S-G,UEFA Champions League,90,7.06,26,ITA
David Raya,J16,GK,Goalkeeper,Arsenal,UEFA Champions League,90,7.19,29,ESP
Alex Meret,J20,GK,Goalkeeper,Napoli,Italian Serie A,90,7.23,27,ITA
Lorenzo Montipò,J20,GK,Goalkeeper,Hellas Verona,Italian Serie A,90,5.7,28,ITA
Gianluigi Donnarumma,J17,GK,Goalkeeper,Paris S-G,UEFA Champions League,90,7.4,26,ITA
Yann Sommer,J17,GK,Goalkeeper,Inter,UEFA Champions League,90,5.36,36,SUI
Rome-Jayden Owusu-Oduro,J1,GK,Goalkeeper,AZ Alkmaar,UEFA Europa League,90,5.34,20,NED
Isak Pettersson,J1,GK,Goalkeeper,Elfsborg,UEFA Europa League,90,6.18,27,SWE
Nikita Haikin,J1,GK,Goalkeeper,Bodø/Glimt,UEFA Europa League,90,7.04,29,RUS
Diogo Costa,J1,GK,Goalkeeper,Porto,UEFA Europa League,90,6.56,25,POR
