Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Dominik Livaković,J2,GK,Goalkeeper,Fenerbahçe,UEFA Europa League,90,7.33,29,CRO
Isak Pettersson,J2,GK,Goalkeeper,Elfsborg,UEFA Europa League,90,7.35,27,SWE
Mile Svilar,J2,GK,Goalkeeper,Roma,UEFA Europa League,90,6.55,25,SRB
Julen Agirrezabala,J2,GK,Goalkeeper,Athletic Club,UEFA Europa League,90,7.2,23,ESP
Rome-Jayden Owusu-Oduro,J2,GK,Goalkeeper,AZ Alkmaar,UEFA Europa League,90,6.2,20,NED
Dominik Kotarski,J2,GK,Goalkeeper,PAOK,UEFA Europa League,90,6.09,24,CRO
Stefan Târnovanu,J2,GK,Goalkeeper,FCSB,UEFA Europa League,90,7.95,24,ROU
Ersin Destanoğlu,J2,GK,Goalkeeper,Beşiktaş,UEFA Europa League,90,5.19,23,TUR
Kauã Santos,J2,GK,Goalkeeper,Eint Frankfurt,UEFA Europa League,90,7.46,21,BRA
Matheus,J3,GK,Goalkeeper,Braga,UEFA Europa League,90,5.52,32,BRA
