Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Aaron Ramsdale,Southampton,English Premier League,GK,Goalkeeper,ENG,27,195.8,2700,30,6.53
Adrian Rodriguez,Alavés,Spanish La Liga,GK,Goalkeeper,ESP,24,13.17,122,2,6.58
Adrián,Betis,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,ESP,38,166.52,2340,26,6.4
Aitor Fernández,Osasuna,Spanish La Liga,GK,Goalkeeper,ESP,33,7.45,90,1,7.45
Alban Lafont,Nantes,French Ligue 1,GK,Goalkeeper,FRA,25,74.92,1080,12,6.24
Albert Posiadala,Molde,UEFA Europa Conference League,GK,Goalkeeper,POL,21,35.88,540,6,5.98
Alberto Paleari,Torino,Italian Serie A,GK,Goalkeeper,ITA,32,6.17,90,1,6.17
Aleksandr Zarutskiy,Astana FK,UEFA Europa Conference League,GK,Goalkeeper,KAZ,31,6.39,90,1,6.39
Aleksei Ploshchadnyi,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,RUS,20,18.64,270,3,6.21
Alen Sherri,Cagliari,Italian Serie A,GK,Goalkeeper,ALB,27,44.78,621,7,6.4
Alex McCarthy,Southampton,English Premier League,GK,Goalkeeper,ENG,35,32.07,450,5,6.41
Alex Meret,Napoli,Italian Serie A,GK,Goalkeeper,ITA,28,218.69,3005,34,6.43
Alex Padilla,Athletic Club,Spanish La Liga,GK,Goalkeeper,ESP,21,26.63,315,4,6.66
Alex Palmer,Ipswich Town,English Premier League,GK,Goalkeeper,ENG,28,82.48,1170,13,6.34
Alexander Meyer,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,GER,33,19.86,270,3,6.62
Alexander Nübel,Stuttgart,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,GER,28,258.52,3690,41,6.31
Alexander Schlager,RB Salzburg,UEFA Champions League,GK,Goalkeeper,AUT,28,25.78,335,4,6.44
Alexander Schwolow,Union Berlin,German Bundesliga,GK,Goalkeeper,GER,32,36.28,540,6,6.05
Aleš Mandous,Slavia Prague,UEFA Europa League,GK,Goalkeeper,CZE,32,13.09,180,2,6.54
Alisson,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,BRA,32,226.32,3048,34,6.66
Alphonse Areola,West Ham,English Premier League,GK,Goalkeeper,FRA,32,170.24,2260,26,6.55
Altay Bayındır,Manchester Utd,"English Premier League, UEFA Europa League",GK,Goalkeeper,TUR,27,38.92,540,6,6.49
Amir Saipi,Lugano,UEFA Europa Conference League,GK,Goalkeeper,KVX,24,50.92,720,8,6.36
Anatolii Trubin,Benfica,UEFA Champions League,GK,Goalkeeper,UKR,23,79.52,1080,12,6.63
Andriy Lunin,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,UKR,26,59.72,810,9,6.64
André Ferreira,Valladolid,Spanish La Liga,GK,Goalkeeper,POR,28,36.66,540,6,6.11
André Onana,Manchester Utd,"English Premier League, UEFA Europa League",GK,Goalkeeper,CMR,29,304.3,4230,47,6.47
Anthony Lopes,Nantes,French Ligue 1,GK,Goalkeeper,POR,34,115.69,1563,18,6.43
Anthony Moris,Union SG,UEFA Europa League,GK,Goalkeeper,LUX,34,65.87,900,10,6.59
Antonio Sivera,Alavés,Spanish La Liga,GK,Goalkeeper,ESP,28,213.39,2810,32,6.67
Antonín Kinský,"Slavia Prague, Tottenham","English Premier League, UEFA Europa League",GK,Goalkeeper,CZE,22,76.86,1080,12,6.4
Arijanet Muric,Ipswich Town,English Premier League,GK,Goalkeeper,KVX,26,117.43,1620,18,6.52
Arnau Rafús,Valladolid,Spanish La Liga,GK,Goalkeeper,ESP,21,5.91,90,1,5.91
Arnau Tenas,Paris S-G,French Ligue 1,GK,Goalkeeper,ESP,23,6.65,90,1,6.65
Arthur Desmas,Le Havre,French Ligue 1,GK,Goalkeeper,FRA,30,113.05,1620,18,6.28
Augusto Batalla,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,ARG,29,213.92,2880,32,6.68
Bart Verbruggen,Brighton,English Premier League,GK,Goalkeeper,NED,22,229.65,3240,36,6.38
Bartłomiej Drągowski,Panathinaikos,UEFA Europa Conference League,GK,Goalkeeper,POL,27,44.25,630,7,6.32
Ben Alexander Voll,St. Pauli,German Bundesliga,GK,Goalkeeper,GER,24,6.55,90,1,6.55
Benjamin Lecomte,Montpellier,French Ligue 1,GK,Goalkeeper,FRA,34,182.89,2610,29,6.31
Benjamin Siegrist,Genoa,Italian Serie A,GK,Goalkeeper,SUI,33,12.9,152,2,6.45
Bernd Leno,Fulham,English Premier League,GK,Goalkeeper,GER,33,245.48,3420,38,6.46
Brandon Austin,Tottenham,"English Premier League, UEFA Europa League",GK,Goalkeeper,ENG,26,19.67,270,3,6.56
Brice Samba,"Lens, Rennes",French Ligue 1,GK,Goalkeeper,FRA,31,211.47,2879,32,6.61
Bruno Varela,Vitória,UEFA Europa Conference League,GK,Goalkeeper,CPV,30,48.86,720,8,6.11
Caoimhín Kelleher,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,IRL,26,93.65,1260,14,6.69
Christian Walton,Ipswich Town,English Premier League,GK,Goalkeeper,ENG,29,45.11,630,7,6.44
Christos Mandas,Lazio,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,GRE,23,119.76,1620,18,6.65
Colin Coosemans,Anderlecht,UEFA Europa League,GK,Goalkeeper,BEL,32,56.88,810,9,6.32
Connor Roberts,The New Saints,UEFA Europa Conference League,GK,Goalkeeper,WAL,32,39.4,540,6,6.57
Craig Gordon,Hearts,UEFA Europa Conference League,GK,Goalkeeper,SCO,41,36.82,540,6,6.14
Damjan Šiškovski,Borac Banja Luka,UEFA Europa Conference League,GK,Goalkeeper,MKD,29,6.3,90,1,6.3
Dani Cárdenas,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,ESP,28,39.15,540,6,6.52
Daniel Bentley,Wolves,English Premier League,GK,Goalkeeper,ENG,31,13.17,180,2,6.58
Daniel Peretz,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,ISR,24,24.83,360,4,6.21
Daniel Schmidt,Gent,UEFA Europa Conference League,GK,Goalkeeper,JPN,32,6.04,90,1,6.04
Daniele Padelli,Udinese,Italian Serie A,GK,Goalkeeper,ITA,39,7.03,90,1,7.03
Daniil Khudiakov,Sturm Graz,UEFA Champions League,GK,Goalkeeper,RUS,20,13.77,180,2,6.88
Danijel Zagorac,Dinamo Zagreb,UEFA Champions League,GK,Goalkeeper,CRO,37,21.27,270,3,7.09
Danny Ward,Leicester City,English Premier League,GK,Goalkeeper,WAL,31,11.83,135,2,5.92
David Raya,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,ESP,29,346.04,4590,51,6.79
David Soria,Getafe,Spanish La Liga,GK,Goalkeeper,ESP,32,254.37,3420,38,6.69
David de Gea,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,ESP,34,258.29,3600,40,6.46
David von Ballmoos,Young Boys,UEFA Champions League,GK,Goalkeeper,SUI,29,25.73,360,4,6.43
Davy Roef,Gent,UEFA Europa Conference League,GK,Goalkeeper,BEL,31,43.93,630,7,6.28
